n, q, tp, g, app, MOS, stdev, Queue
10, 10B, 90, 1, hostVIP, 4.311249537133975, 0.009868061067689985, 54000.0
10, 10B, 100, 1, hostVIP, 4.373163528934304, 0.0076589722542057094, 60000.0
10, 10B, 110, 1, hostVIP, 4.37338446093057, 0.007654650085863417, 66000.0
10, 10B, 120, 1, hostVIP, 4.3735488500982855, 0.007650944763082598, 72000.0
10, 10B, 130, 1, hostVIP, 4.373677103168776, 0.007649727213176088, 78000.0
10, 10B, 140, 1, hostVIP, 4.373780783480537, 0.007649530188839603, 84000.0
10, 10B, 150, 1, hostVIP, 4.373865231664124, 0.007649685253035334, 90000.0
20, T, 50, 1, hostVIP, 3.249897885959876, 0.10138336762378598, 1800
20, T, 60, 1, hostVIP, 3.5797166772955538, 0.05399920840839758, 1800
20, T, 70, 1, hostVIP, 4.052743005810845, 0.05542126217914133, 2400
20, T, 80, 1, hostVIP, 4.2520657613306705, 0.0408146614399745, 2400
20, T, 90, 1, hostVIP, 4.363536776158073, 0.01660827969866913, 3000
20, T, 100, 1, hostVIP, 4.373669937586088, 0.010270294842277247, 3000
20, T, 110, 1, hostVIP, 4.375732243324926, 0.00945472193859938, 3000
20, T, 120, 1, hostVIP, 4.380143482453793, 0.004877384101560569, 3600
20, T, 130, 1, hostVIP, 4.380267996791872, 0.004916227238956139, 3600
20, T, 140, 1, hostVIP, 4.380325353137311, 0.0049160502198314915, 4200
20, T, 150, 1, hostVIP, 4.380371658067896, 0.004915336696727772, 4200
20, B, 50, 1, hostVIP, 3.2905540678747727, 0.10233589580090746, 6000.0
20, B, 60, 1, hostVIP, 3.6963708221817244, 0.0674013161584044, 7200.0
20, B, 70, 1, hostVIP, 4.12426978642491, 0.04873342584971579, 8400.0
20, B, 80, 1, hostVIP, 4.351212350137587, 0.013987579640560265, 9600.0
20, B, 90, 1, hostVIP, 4.379534671769064, 0.0051225941093296515, 10800.0
20, B, 100, 1, hostVIP, 4.3799657388849464, 0.00491390994663173, 12000.0
20, B, 110, 1, hostVIP, 4.380098254914843, 0.004915277121669536, 13200.0
20, B, 120, 1, hostVIP, 4.380194806726001, 0.004915710749449423, 14400.0
20, B, 130, 1, hostVIP, 4.380267996791872, 0.004916227238956139, 15600.0
20, B, 140, 1, hostVIP, 4.380325353137311, 0.0049160502198314915, 16800.0
20, B, 150, 1, hostVIP, 4.380371658067896, 0.004915336696727772, 18000.0
20, 5B, 50, 1, hostVIP, 3.0960382915854106, 0.10838348342726804, 30000.0
20, 5B, 60, 1, hostVIP, 3.0275271683712894, 0.09081904685901604, 36000.0
20, 5B, 70, 1, hostVIP, 3.28183008333613, 0.07979797310448578, 42000.0
20, 5B, 80, 1, hostVIP, 4.202629829597415, 0.025793363710181965, 48000.0
20, 5B, 90, 1, hostVIP, 4.379097816644657, 0.005194197855982456, 54000.0
20, 5B, 100, 1, hostVIP, 4.3799657388849464, 0.00491390994663173, 60000.0
20, 5B, 110, 1, hostVIP, 4.380098254914843, 0.004915277121669536, 66000.0
20, 5B, 120, 1, hostVIP, 4.380194806726001, 0.004915710749449423, 72000.0
20, 5B, 130, 1, hostVIP, 4.380267996791872, 0.004916227238956139, 78000.0
20, 5B, 140, 1, hostVIP, 4.380325353137311, 0.0049160502198314915, 84000.0
20, 5B, 150, 1, hostVIP, 4.380371658067896, 0.004915336696727772, 90000.0
20, 10B, 50, 1, hostVIP, 2.742828115494103, 0.11526144211701639, 60000.0
20, 10B, 60, 1, hostVIP, 2.7336511182604046, 0.08437203322466043, 72000.0
20, 10B, 70, 1, hostVIP, 3.215983324212052, 0.07898956686088993, 84000.0
20, 10B, 80, 1, hostVIP, 4.199133859205297, 0.02470849325525894, 96000.0
20, 10B, 90, 1, hostVIP, 4.379097816644657, 0.005194197855982456, 108000.0
20, 10B, 100, 1, hostVIP, 4.3799657388849464, 0.00491390994663173, 120000.0
20, 10B, 110, 1, hostVIP, 4.380098254914843, 0.004915277121669536, 132000.0
20, 10B, 120, 1, hostVIP, 4.380194806726001, 0.004915710749449423, 144000.0
20, 10B, 130, 1, hostVIP, 4.380267996791872, 0.004916227238956139, 156000.0
20, 10B, 140, 1, hostVIP, 4.380325353137311, 0.0049160502198314915, 168000.0
20, 10B, 150, 1, hostVIP, 4.380371658067896, 0.004915336696727772, 180000.0
30, T, 50, 1, hostVIP, 3.155696451771784, 0.1187972212959775, 1800
30, T, 60, 1, hostVIP, 3.6350234828798595, 0.08858696420165117, 2400
30, T, 70, 1, hostVIP, 4.000155305836011, 0.06495119986226332, 2400
30, T, 80, 1, hostVIP, 4.288437439975579, 0.03830085545952863, 3000
30, T, 90, 1, hostVIP, 4.34648298528761, 0.022041644692513577, 3000
30, T, 100, 1, hostVIP, 4.374888658944277, 0.012534943852423718, 3600
30, T, 110, 1, hostVIP, 4.37896112506589, 0.010169996340714329, 4200
30, T, 120, 1, hostVIP, 4.379029458233091, 0.010170867905896693, 4200
30, T, 130, 1, hostVIP, 4.37908064208973, 0.01017097556075616, 4800
30, T, 140, 1, hostVIP, 4.3791202623442445, 0.010170703458403875, 4800
30, T, 150, 1, hostVIP, 4.379152045813189, 0.010170379633950892, 5400
30, B, 50, 1, hostVIP, 3.3031658587059396, 0.12864973694826703, 9000.0
30, B, 60, 1, hostVIP, 3.771246953920758, 0.08045785869928494, 10800.0
30, B, 70, 1, hostVIP, 4.151733151989777, 0.045159663949800775, 12600.0
30, B, 80, 1, hostVIP, 4.35798986372898, 0.016622938504245743, 14400.0
30, B, 90, 1, hostVIP, 4.37871267425088, 0.010169525023941889, 16200.0
30, B, 100, 1, hostVIP, 4.3788625455641235, 0.010169349064811404, 18000.0
30, B, 110, 1, hostVIP, 4.37896112506589, 0.010169996340714329, 19800.0
30, B, 120, 1, hostVIP, 4.379029458233091, 0.010170867905896693, 21600.0
30, B, 130, 1, hostVIP, 4.37908064208973, 0.01017097556075616, 23400.0
30, B, 140, 1, hostVIP, 4.3791202623442445, 0.010170703458403875, 25200.0
30, B, 150, 1, hostVIP, 4.379152045813189, 0.010170379633950892, 27000.0
30, 5B, 50, 1, hostVIP, 3.1353844937691884, 0.12174859169713727, 45000.0
30, 5B, 60, 1, hostVIP, 3.070177692581875, 0.0996197188361452, 54000.0
30, 5B, 70, 1, hostVIP, 3.4907000495406226, 0.06869041328575984, 63000.0
30, 5B, 80, 1, hostVIP, 4.267699802921254, 0.01935045960684427, 72000.0
30, 5B, 90, 1, hostVIP, 4.37871267425088, 0.010169525023941889, 81000.0
30, 5B, 100, 1, hostVIP, 4.3788625455641235, 0.010169349064811404, 90000.0
30, 5B, 110, 1, hostVIP, 4.37896112506589, 0.010169996340714329, 99000.0
30, 5B, 120, 1, hostVIP, 4.379029458233091, 0.010170867905896693, 108000.0
30, 5B, 130, 1, hostVIP, 4.37908064208973, 0.01017097556075616, 117000.0
30, 5B, 140, 1, hostVIP, 4.3791202623442445, 0.010170703458403875, 126000.0
30, 5B, 150, 1, hostVIP, 4.379152045813189, 0.010170379633950892, 135000.0
