n, q, tp, g, app, MOS, stdev, Queue
1, B, 50, F, hostVID, 1.322769323556682, 0.0
1, B, 50, F, hostLVD, 1.713161220988087, 0.0
1, B, 50, F, hostFDO, 2.1387859731246994, 0.0
1, B, 60, F, hostVIP, 1.215716360483494, 0.0
1, B, 60, F, hostVID, 2.900031172026337, 0.0
1, B, 60, F, hostLVD, 1.6648445570045054, 0.0
1, B, 60, F, hostFDO, 2.5687371821993, 0.0
1, B, 70, F, hostVIP, 1.3489284864843045, 0.0
1, B, 70, F, hostVID, 3.0916385791743672, 0.0
1, B, 70, F, hostLVD, 2.0633846378691936, 0.0
1, B, 70, F, hostFDO, 2.7802726384239, 0.0
1, B, 80, F, hostVIP, 2.008174307237448, 0.0
1, B, 80, F, hostVID, 3.227530183886813, 0.0
1, B, 80, F, hostLVD, 2.1074404999485314, 0.0
1, B, 80, F, hostFDO, 3.0330228291398, 0.0
1, B, 90, F, hostVIP, 2.86641290079938, 0.0
1, B, 90, F, hostVID, 2.6653719426364986, 0.0
1, B, 90, F, hostLVD, 2.139053263895223, 0.0
1, B, 90, F, hostFDO, 3.2341288694217, 0.0
1, B, 100, F, hostVIP, 4.352747043006647, 0.0
1, B, 100, F, hostVID, 2.815090373342272, 0.0
1, B, 100, F, hostLVD, 2.28093722859847, 0.0
1, B, 100, F, hostFDO, 3.3781559535958, 0.0
1, B, 110, F, hostVID, 3.662287461468756, 0.0
1, B, 110, F, hostLVD, 2.252424703377046, 0.0
1, B, 110, F, hostFDO, 3.5768897454378994, 0.0
1, B, 120, F, hostVID, 3.5831155085593034, 0.0
1, B, 120, F, hostLVD, 2.3317113660320223, 0.0
1, B, 120, F, hostFDO, 3.6974056891477, 0.0
1, B, 130, F, hostVID, 3.674536797232394, 0.0
1, B, 130, F, hostLVD, 2.299546559636916, 0.0
1, B, 130, F, hostFDO, 3.8066004002688993, 0.0
1, B, 140, F, hostVID, 3.7460784977477086, 0.0
1, B, 140, F, hostLVD, 2.5704308761668537, 0.0
1, B, 140, F, hostFDO, 3.9571763992961, 0.0
1, B, 150, F, hostVID, 3.795089983714802, 0.0
1, B, 150, F, hostLVD, 2.466639688720072, 0.0
1, B, 150, F, hostFDO, 4.052416250045299, 0.0
1, 5B, 50, S, hostVIP, 1.1337069828804731, 0.0
1, 5B, 50, S, hostVID, 2.9867804648075555, 0.0
1, 5B, 50, S, hostLVD, 2.9312591422047882, 0.0
1, 5B, 50, S, hostFDO, 2.3044702780655, 0.0
1, 5B, 60, S, hostVIP, 1.1387572289106844, 0.0
1, 5B, 60, S, hostVID, 3.3667772760802057, 0.0
1, 5B, 60, S, hostLVD, 3.0498351491106725, 0.0
1, 5B, 60, S, hostFDO, 2.6039389666915, 0.0
1, 5B, 70, S, hostVIP, 1.232203866079656, 0.0
1, 5B, 70, S, hostVID, 3.306922644643784, 0.0
1, 5B, 70, S, hostLVD, 3.0962734750634278, 0.0
1, 5B, 70, S, hostFDO, 2.8579969099408, 0.0
1, 5B, 80, S, hostVIP, 1.3972260760238204, 0.0
1, 5B, 80, S, hostVID, 3.200868948960683, 0.0
1, 5B, 80, S, hostLVD, 3.3400202363840847, 0.0
1, 5B, 80, S, hostFDO, 3.0754038789942, 0.0
1, 5B, 90, S, hostVIP, 1.7226398268580831, 0.0
1, 5B, 90, S, hostVID, 3.330626688598968, 0.0
1, 5B, 90, S, hostLVD, 3.37495969773951, 0.0
1, 5B, 90, S, hostFDO, 3.2662759145233, 0.0
1, 5B, 100, S, hostVIP, 4.352747043006647, 0.0
1, 5B, 100, S, hostVID, 3.586745977097441, 0.0
1, 5B, 100, S, hostLVD, 3.3890935892949083, 0.0
1, 5B, 100, S, hostFDO, 3.3933969704706994, 0.0
1, 5B, 110, S, hostVID, 3.809859061624712, 0.0
1, 5B, 110, S, hostLVD, 3.3905488459999527, 0.0
1, 5B, 120, S, hostVID, 3.754059083300416, 0.0
1, 5B, 120, S, hostLVD, 3.780319419784887, 0.0
1, 5B, 130, S, hostVID, 3.8964886661494456, 0.0
1, 5B, 130, S, hostLVD, 3.7189608617409706, 0.0
1, 5B, 140, S, hostVID, 4.017608888046332, 0.0
1, 5B, 140, S, hostLVD, 3.8998406882305217, 0.0
1, 5B, 150, S, hostVID, 4.099148132701068, 0.0
1, 5B, 150, S, hostLVD, 3.895020644065289, 0.0
1, 5B, 50, F, hostVIP, 1.1337069828804731, 0.0
1, 5B, 50, F, hostVID, 2.9867804648075555, 0.0
1, 5B, 50, F, hostLVD, 2.9312591422047882, 0.0
1, 5B, 50, F, hostFDO, 2.3044702780655, 0.0
1, 5B, 60, F, hostVIP, 1.1387572289106844, 0.0
1, 5B, 60, F, hostVID, 3.3667772760802057, 0.0
1, 5B, 60, F, hostLVD, 3.0498351491106725, 0.0
1, 5B, 60, F, hostFDO, 2.6039389666915, 0.0
1, 5B, 70, F, hostVIP, 1.232203866079656, 0.0
1, 5B, 70, F, hostVID, 3.306922644643784, 0.0
1, 5B, 70, F, hostLVD, 3.0962734750634278, 0.0
1, 5B, 70, F, hostFDO, 2.8579969099408, 0.0
1, 5B, 80, F, hostVIP, 1.3972260760238204, 0.0
1, 5B, 80, F, hostVID, 3.200868948960683, 0.0
1, 5B, 80, F, hostLVD, 3.3400202363840847, 0.0
1, 5B, 80, F, hostFDO, 3.0754038789942, 0.0
1, 5B, 90, F, hostVIP, 1.7226398268580831, 0.0
1, 5B, 90, F, hostVID, 3.330626688598968, 0.0
1, 5B, 90, F, hostLVD, 3.37495969773951, 0.0
1, 5B, 90, F, hostFDO, 3.2662759145233, 0.0
1, 5B, 100, F, hostVIP, 4.352747043006647, 0.0
1, 5B, 100, F, hostVID, 3.586745977097441, 0.0
1, 5B, 100, F, hostLVD, 3.3890935892949083, 0.0
1, 5B, 100, F, hostFDO, 3.3933969704706994, 0.0
1, 5B, 110, F, hostVID, 3.809859061624712, 0.0
1, 5B, 110, F, hostLVD, 3.3905488459999527, 0.0
1, 5B, 110, F, hostFDO, 3.5889912800819, 0.0
1, 5B, 120, F, hostVID, 3.754059083300416, 0.0
1, 5B, 120, F, hostLVD, 3.780319419784887, 0.0
1, 5B, 120, F, hostFDO, 3.7283966017029, 0.0
1, 5B, 130, F, hostVID, 3.8964886661494456, 0.0
1, 5B, 130, F, hostLVD, 3.7189608617409706, 0.0
1, 5B, 130, F, hostFDO, 3.8567975191336, 0.0
1, 5B, 140, F, hostVID, 4.017608888046332, 0.0
1, 5B, 140, F, hostLVD, 3.8998406882305217, 0.0
1, 5B, 140, F, hostFDO, 3.9822125364021, 0.0
1, 5B, 150, F, hostVID, 4.099148132701068, 0.0
1, 5B, 150, F, hostLVD, 3.895020644065289, 0.0
1, 5B, 150, F, hostFDO, 4.0930915087913, 0.0
1, 10B, 50, S, hostVIP, 1.1277464579227972, 0.0
1, 10B, 50, S, hostVID, 3.0257136978612635, 0.0
1, 10B, 50, S, hostLVD, 3.1409514293373135, 0.0
1, 10B, 50, S, hostFDO, 2.3047552393111994, 0.0
1, 10B, 60, S, hostVIP, 1.130306757759881, 0.0
1, 10B, 60, S, hostVID, 2.3978770356033063, 0.0
1, 10B, 60, S, hostLVD, 3.2871126360764555, 0.0
